Bright,,,Filios,,,Bowles,,
Species,Date,Location,Species,Date,Location,Species,Date,Location
Mallard,1/9/2016,"Moscow, ID",Clark's Nutcracker,3/8/2016,"Lake Tahoe, CA",House Sparrow,3Apr2016,"Mt. View Park Moscow, ID"
Great Blue Heron,1/9/2016,"Moscow, ID",Great-tailed Grackle,3/17/2016,"Gilbert Riparian Preserve, AZ",House Finch,Mar2016,WSU Campus
Song Sparrow,1/9/2016,"Moscow, ID",Abert's Towhee,3/17/2016,"Gilbert Riparian Preserve, AZ",American Wigeon,Mar2016,"Clarkston, WA"
Northern Shrike,1/10/2016,"Latah, ID",American Coot,3/17/2016,"Gilbert Riparian Preserve, AZ",American Coot,Mar2016,"Clarkston, WA"
Gray Partridge,1/11/2016,"Latah, ID",Mallard,3/17/2016,"Gilbert Riparian Preserve, AZ",House Wren,16Apr2016,"Moscow, ID"
Horned Lark,1/11/2016,"Latah, ID",Northern Shoveler,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
American Tree Sparrow,1/11/2016,"Genesee, ID",American Avocet,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
Varied Thrush,1/12/2016,"Moscow, ID",Black-necked Stilt,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
White-winged Crossbill,1/18/2016,"Moscow, ID",Gambel's Quail,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
Mourning Dove,1/18/2016,"Moscow, ID",Black-chinned Hummingbird,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
Golden-crowned Kinglet,1/18/2016,"Moscow, ID",Green-winged Teal,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
Canada Goose,1/18/2016,"Moscow, ID",Cinnamon Teal,3/17/2016,"Gilbert Riparian Preserve, AZ",,,
White-breasted Nuthatch,1/20/2016,"Latah, ID",Killdeer,3/17/2016,"Glendare Recharge Ponds, AZ",,,
Great Horned Owl,1/20/2016,"Latah, ID",Cooper's Hawk,3/17/2016,"Glendare Recharge Ponds, AZ",,,
Cedar Waxwing,1/25/2016,"Moscow, ID",Green Heron,3/17/2016,"Glendare Recharge Ponds, AZ",,,
Northern Pygmy-Owl,1/31/2016,"Moscow, ID",Verdin,3/17/2016,"Glendare Recharge Ponds, AZ",,,
Barred Owl,2/3/2016,"Moscow, ID",Gila Woodpecker,3/17/2016,"Glendare Recharge Ponds, AZ",,,
